Βίβλος	[The] book
γενέσεως	of [the] genealogy
Ἰησοῦ	of Jesus
Χριστοῦ	Christ,
υἱοῦ	son
Δαυὶδ	of David,
υἱοῦ	son
Ἀβραάμ.	of Abraham:
Ἀβραὰμ	Abraham
ἐγέννησεν	begat
τὸν	-
Ἰσαάκ,	Isaac,
δὲ	then
Ἰσαὰκ	Isaac
ἐγέννησεν	begat
τὸν	-
Ἰακώβ,	Jacob,
δὲ	then
Ἰακὼβ	Jacob
ἐγέννησεν	begat
τὸν	-
Ἰούδαν	Judah
καὶ	and
τοὺς	the
αὐτοῦ,	of him.
ἀδελφοὺς	brothers
Ἰούδας	Judah
δὲ	then
ἐγέννησεν	begat
τὸν	-
Φαρὲς	Perez
καὶ	and
τὸν	-
Ζαρὰ	Zerah
ἐκ	out of
τῆς	-
Θάμαρ,	Tamar,
Φαρὲς	Perez
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἑσρώμ,	Hezron,
δὲ	then
Ἑσρὼμ	Hezron
ἐγέννησεν	begat
τὸν	-
Ἀράμ,	Ram.
Ἀρὰμ	Ram
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἀμιναδάβ,	Amminadab,
Ἀμιναδὰβ	Amminadab
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ναασσών,	Nahshon,
δὲ	then
Ναασσὼν	Nahshon
ἐγέννησεν	begat
τὸν	-
Σαλμών,	Salmon.
Σαλμὼν	Salmon
δὲ	then
ἐγέννησεν	begat
τὸν	-
Βόες	Boaz
ἐκ	out of
τῆς	-
Ῥαχάβ,	Rahab,
Βόες	Boaz
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἰωβὴδ	Obed
ἐκ	out of
τῆς	-
Ῥούθ,	Ruth,
δὲ	then
Ἰωβὴδ	Obed
ἐγέννησεν	begat
τὸν	-
Ἰεσσαί,	Jesse,
δὲ	then
Ἰεσσαὶ	Jesse
ἐγέννησεν	begat
τὸν	-
Δαυὶδ	David
τὸν	the
βασιλέα.	king.
δὲ	then
Δαυὶδ	David
ἐγέννησεν	begat
τὸν	-
Σολομῶνα	Solomon
ἐκ	out of
τοῦ	-
Οὐρίου,	of Uriah,
τῆς	the [wife]
Σολομὼν	Solomon
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ῥοβοάμ,	Rehoboam,
Ῥοβοὰμ	Rehoboam
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἀβιά,	Abijah,
δὲ	then
Ἀβιὰ	Abijah
ἐγέννησεν	begat
τὸν	-
Ἀσάφ,	Asa.
Ἀσὰφ	Asa
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἰωσαφάτ,	Jehoshaphat,
δὲ	then
Ἰωσαφὰτ	Jehoshaphat
ἐγέννησεν	begat
τὸν	-
Ἰωράμ,	Joram,
δὲ	then
Ἰωρὰμ	Joram
ἐγέννησεν	begat
τὸν	-
Ὀζίαν,	Uzziah.
Ὀζίας	Uzziah
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἰωαθάμ,	Jotham,
Ἰωαθὰμ	Jotham
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἄχαζ,	Ahaz,
δὲ	then
Ἄχαζ	Ahaz
ἐγέννησεν	begat
τὸν	-
Ἑζεκίαν,	Hezekiah.
Ἑζεκίας	Hezekiah
δὲ	then
ἐγέννησεν	begat
τὸν	-
Μανασσῆ,	Manasseh,
Μανασσῆς	Manasseh
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἀμώς,	Amos,
δὲ	then
Ἀμὼς	Amos
ἐγέννησεν	begat
τὸν	-
Ἰωσίαν,	Josiah,
δὲ	then
Ἰωσίας	Josiah
ἐγέννησεν	begat
τὸν	-
Ἰεχονίαν	Jeconiah
καὶ	and
τοὺς	the
αὐτοῦ	of him
ἀδελφοὺς	brothers
ἐπὶ	at [the time]
τῆς	of the
μετοικεσίας	carrying away
Βαβυλῶνος.	to Babylon.
Μετὰ	After
δὲ	then
τὴν	the
μετοικεσίαν	carrying away
Βαβυλῶνος	to Babylon:
Ἰεχονίας	Jeconiah
ἐγέννησεν	begat
τὸν	-
Σαλαθιήλ,	Shealtiel,
δὲ	then
Σαλαθιὴλ	Shealtiel
ἐγέννησεν	begat
τὸν	-
Ζοροβαβέλ,	Zerubbabel,
Ζοροβαβὲλ	Zerubbabel
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἀβιούδ,	Abiud,
Ἀβιοὺδ	Abiud
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἐλιακίμ,	Eliakim,
δὲ	then
Ἐλιακὶμ	Eliakim
ἐγέννησεν	begat
τὸν	-
Ἀζώρ,	Azor.
Ἀζὼρ	Azor
δὲ	then
ἐγέννησεν	begat
τὸν	-
Σαδώκ,	Zadok,
Σαδὼκ	Zadok
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἀχίμ,	Achim,
δὲ	then
Ἀχὶμ	Achim
ἐγέννησεν	begat
τὸν	-
Ἐλιούδ,	Eliud.
Ἐλιοὺδ	Eliud
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ἐλεάζαρ,	Eleazar,
Ἐλεάζαρ	Eleazar
δὲ	then
ἐγέννησεν	begat
τὸν	-
Ματθάν,	Matthan,
δὲ	then
Ματθὰν	Matthan
ἐγέννησεν	begat
τὸν	-
Ἰακώβ,	Jacob,
δὲ	then
Ἰακὼβ	Jacob
ἐγέννησεν	begat
τὸν	-
Ἰωσὴφ	Joseph,
τὸν	the
ἄνδρα	husband
Μαρίας,	of Mary,
ἐξ	out of
ἧς	whom
ἐγεννήθη	was born
Ἰησοῦς	Jesus,
ὁ	the [One]
λεγόμενος	being called
Χριστός.	Christ.
Πᾶσαι	All
οὖν	therefore
δεκατέσσαρες,	fourteen;
αἱ	the
γενεαὶ	generations
γενεαὶ	generations
ἀπὸ	from
Ἀβραὰμ	Abraham
ἕως	to
Δαυὶδ	David [were]
καὶ	and
δεκατέσσαρες,	fourteen;
γενεαὶ	generations
ἀπὸ	from
Δαυὶδ	David
ἕως	until
τῆς	the
μετοικεσίας	carrying away
Βαβυλῶνος	to Babylon,
καὶ	and
δεκατέσσαρες.	fourteen.
γενεαὶ	generations
ἀπὸ	from
τῆς	the
μετοικεσίας	carrying away
Βαβυλῶνος	to Babylon
ἕως	until
τοῦ	the
Χριστοῦ	Christ,
δὲ	Now
οὕτως	thus
ἡ	the
γένεσις	birth
Τοῦ	-
Ἰησοῦ	of Jesus
Χριστοῦ	Christ
ἦν.	came about:
τῆς	the
αὐτοῦ	of Him
μητρὸς	mother
Μαρίας	Mary
μνηστευθείσης	Having been pledged
τῷ	-
Ἰωσήφ,	to Joseph,
ἢ	rather
πρὶν	before
αὐτοὺς	of them,
συνελθεῖν	coming together
εὑρέθη	she was found
ἔχουσα	having [a child]
ἐν	in
γαστρὶ	womb
ἐκ	out of
ἁγίου.	Holy.
πνεύματος	[the] Spirit
δὲ	now,
Ἰωσὴφ	Joseph
ὁ	the
αὐτῆς,	of her,
ἀνὴρ	husband
ὢν	being,
δίκαιος	righteous
καὶ	and
μὴ	not
θέλων	willing
αὐτὴν	her
δειγματίσαι,	to expose publicly,
ἐβουλήθη	purposed
ἀπολῦσαι	to send away
αὐτήν.	her.
λάθρᾳ	secretly
δὲ	now
αὐτοῦ	of him
ἐνθυμηθέντος	having pondered,
Ταῦτα	These things
ἰδοὺ	behold,
ἄγγελος	an angel
Κυρίου	of [the] Lord
ἐφάνη	appeared
αὐτῷ	to him,
κατ’	in
ὄναρ	a dream
λέγων	saying,
“Ἰωσὴφ	Joseph,
υἱὸς	son
Δαυίδ,	of David,
φοβηθῇς	you should fear
μὴ	not
παραλαβεῖν	to receive
Μαρίαν	Mary
τὴν	[as] the
σου,	of you;
γυναῖκά	wife
γὰρ	for
τὸ	that
γεννηθὲν	having been conceived,
ἐν	in
αὐτῇ	her
ἐστιν	is,
ἐκ	from
Ἁγίου·	Holy.
Πνεύματός	[the] Spirit
τέξεται	She will bear
δὲ	then
υἱὸν	a son,
καὶ	and
καλέσεις	you will call
αὐτοῦ	of Him
τὸ	the
ὄνομα	name
Ἰησοῦν·	Jesus;
γὰρ	for
αὐτὸς	He
σώσει	will save
τὸν	the
αὐτοῦ	of Him
λαὸν	people
ἀπὸ	from
τῶν	the
αὐτῶν.	of them.
ἁμαρτιῶν	sins
ὅλον	all
δὲ	then
Τοῦτο	This
γέγονεν	has come to pass,
ἵνα	that
πληρωθῇ	may be fulfilled
τὸ	that
ὑπὸ	by
Κυρίου	the Lord
ῥηθὲν	having been spoken
διὰ	through
τοῦ	the
προφήτου	prophet,
λέγοντος	saying,
“Ἰδοὺ	Behold,
ἡ	the
παρθένος	virgin
ἕξει	will hold,
ἐν	in
γαστρὶ	womb
καὶ	and
τέξεται	will bear
υἱόν,	a son,
καὶ	and
καλέσουσιν	they will call
τὸ	the
αὐτοῦ	of Him
ὄνομα	name
Ἐμμανουήλ,”	Immanuel,”
ὅ	which
ἐστιν	is
μεθερμηνευόμενον	being translated,
ὁ	-
Θεός.	God.
“Μεθ’	With
ἡμῶν	us
δὲ	then
ὁ	-
Ἰωσὴφ	Joseph
Ἐγερθεὶς	Having been awoken
ἀπὸ	from
τοῦ	the
ὕπνου	sleep,
ἐποίησεν	he did
ὡς	as
ὁ	the
ἄγγελος	angel
Κυρίου,	of [the] Lord,
προσέταξεν	had commanded
αὐτῷ	him
καὶ	and
παρέλαβεν	received
τὴν	the
αὐτοῦ·	of him,
γυναῖκα	wife
καὶ	and
ἐγίνωσκεν	knew
οὐκ	not
αὐτὴν	her
ἕως	until
οὗ	that
ἔτεκεν	she had brought forth
υἱόν·	a son;
καὶ	and
ἐκάλεσεν	he called
τὸ	the
ὄνομα	name
αὐτοῦ	of Him
Ἰησοῦν.	Jesus.
δὲ	Now
Τοῦ	-
Ἰησοῦ	Jesus
γεννηθέντος	having been born
ἐν	in
Βηθλέεμ	Bethlehem
τῆς	-
Ἰουδαίας	of Judea,
ἐν	in
ἡμέραις	[the] days
τοῦ	the
βασιλέως,	king,
Ἡρῴδου	of Herod
ἰδοὺ	behold,
μάγοι	Magi
ἀπὸ	from [the]
ἀνατολῶν	east
παρεγένοντο	arrived
εἰς	in
Ἱεροσόλυμα	Jerusalem,
λέγοντες	saying,
“Ποῦ	Where
ἐστιν	is
ὁ	the [One]
τεχθεὶς	having been born
βασιλεὺς	King
τῶν	of the
Ἰουδαίων;	Jews?
γὰρ	for
εἴδομεν	We saw
αὐτοῦ	of Him
τὸν	the
ἀστέρα	star
ἐν	in
τῇ	the
ἀνατολῇ	east,
καὶ	and
ἤλθομεν	are come
προσκυνῆσαι	to worship
αὐτῷ.	Him.
δὲ	then
ὁ	-
βασιλεὺς	King
Ἡρῴδης	Herod,
Ἀκούσας	Having heard
ἐταράχθη,	he was troubled,
καὶ	and
πᾶσα	all
Ἱεροσόλυμα	Jerusalem
μετ’	with
αὐτοῦ,	him.
καὶ	And
συναγαγὼν	having gathered together
πάντας	all
τοὺς	the
ἀρχιερεῖς	chief priests
καὶ	and
γραμματεῖς	scribes
τοῦ	of the
λαοῦ	people,
ἐπυνθάνετο	he was inquiring
παρ’	of
αὐτῶν	them
ποῦ	where
ὁ	the
Χριστὸς	Christ
γεννᾶται.	was to be born.
“Ἐν	In
Βηθλέεμ	Bethlehem
τῆς	-
Ἰουδαίας·	of Judea,
Οἱ	-
δὲ	And
εἶπαν	they said
αὐτῷ·	to him,
γὰρ	for
οὕτως	thus
διὰ	through
τοῦ	the
προφήτου·	prophet:
γέγραπται	has it been written
‘Καὶ	And
σύ,	you,
Βηθλέεμ	Bethlehem,
γῆ	land
Ἰούδα,	of Judah,
εἶ	are
οὐδαμῶς	by no means
ἐλαχίστη	least
ἐν	among
τοῖς	the
ἡγεμόσιν	rulers
Ἰούδα·	of Judah,
γὰρ	for
ἐκ	out
σοῦ	of you
ἐξελεύσεται	will go forth
ἡγούμενος,	[One] leading,
ὅστις	who
ποιμανεῖ	will shepherd
τὸν	the
μου	of Me
λαόν	people
τὸν	-
Ἰσραήλ.’	Israel.’
Τότε	Then
Ἡρῴδης	Herod,
καλέσας	having called
τοὺς	the
μάγους	Magi,
λάθρᾳ	secretly
ἠκρίβωσεν	inquired exactly
παρ’	of
αὐτῶν	them
τὸν	the
χρόνον	time
τοῦ	of the
ἀστέρος,	star.
φαινομένου	appearing
καὶ	And
πέμψας	having sent
αὐτοὺς	them
εἰς	to
Βηθλέεμ	Bethlehem,
εἶπεν·	he said,
“Πορευθέντες	Having gone,
ἐξετάσατε	search
ἀκριβῶς	carefully
περὶ	for
τοῦ	the
παιδίου·	Child;
δὲ	then
ἐπὰν	when
εὕρητε,	You shall have found [Him],
ἀπαγγείλατέ	bring word back
μοι,	to me,
ὅπως	so that
κἀγὼ	I also
ἐλθὼν	having come,
προσκυνήσω	may worship
αὐτῷ.	Him.
Οἱ	-
δὲ	And
ἀκούσαντες	having heard
τοῦ	the
βασιλέως	king,
ἐπορεύθησαν·	they went away;
καὶ	and
ἰδοὺ	behold,
ὁ	the
ἀστὴρ,	star
ὃν	which
εἶδον	they saw
ἐν	in
τῇ	the
ἀνατολῇ,	east
προῆγεν	went before
αὐτούς	them
ἕως	until
ἐλθὼν	having arrived,
ἐστάθη	it stood
ἐπάνω	over
οὗ	where
τὸ	the
παιδίον.	Child.
ἦν	was
δὲ	now
ἰδόντες	Having seen
τὸν	the
ἀστέρα	star,
ἐχάρησαν	they rejoiced [with]
σφόδρα.	exceedingly.
μεγάλην	great
χαρὰν	joy
καὶ	And
ἐλθόντες	having come
εἰς	into
τὴν	the
οἰκίαν	house,
εἶδον	they found
τὸ	the
παιδίον	Child
μετὰ	with
τῆς	the
αὐτοῦ,	of Him,
μητρὸς	mother
Μαρίας	Mary
καὶ	and
πεσόντες	having fallen down,
προσεκύνησαν	they worshiped
αὐτῷ,	Him;
καὶ	and
ἀνοίξαντες	having opened
τοὺς	the
αὐτῶν	of them,
θησαυροὺς	treasures
προσήνεγκαν	they offered
αὐτῷ	to Him
δῶρα,	gifts,
χρυσὸν	gold
καὶ	and
λίβανον	frankincense
καὶ	and
σμύρναν.	myrrh.
Καὶ	And
χρηματισθέντες	having been divinely warned
κατ’	in
ὄναρ	a dream
μὴ	not
ἀνακάμψαι	to return
πρὸς	to
Ἡρῴδην,	Herod,
ἀνεχώρησαν	they withdrew
εἰς	into
τὴν	the
αὐτῶν.	of them.
χώραν	country
δι’	by
ἄλλης	another
ὁδοῦ	route
δὲ	then
αὐτῶν,	of them,
Ἀναχωρησάντων	Having withdrawn
ἰδοὺ	behold,
ἄγγελος	an angel
κυρίου	of [the] Lord
φαίνεται	appears
τῷ	-
Ἰωσὴφ	to Joseph,
κατ’	in
ὄναρ	a dream
“Ἐγερθεὶς	Having arisen,
λέγων	saying,
παράλαβε	take
τὸ	the
παιδίον	Child
καὶ	and
τὴν	the
αὐτοῦ	of Him,
μητέρα	mother
καὶ	and
φεῦγε	flee
εἰς	into
Αἴγυπτον,	Egypt,
καὶ	and
ἴσθι	remain
ἐκεῖ	there
ἕως	until
ἂν	-
εἴπω	I should tell
σοι·	you;
γὰρ	for
Ἡρῴδης	Herod
μέλλει	is about
ζητεῖν	to seek
τὸ	the
παιδίον	Child,
τοῦ	-
ἀπολέσαι	to destroy
αὐτό.	Him.
Ὁ	-
δὲ	And
ἐγερθεὶς	having arisen,
παρέλαβεν	he took
τὸ	the
παιδίον	Child
καὶ	and
τὴν	the
αὐτοῦ	of Him
μητέρα	mother
νυκτὸς	by night
καὶ	and
ἀνεχώρησεν	withdrew
εἰς	into
Αἴγυπτον,	Egypt,
καὶ	and
ἐκεῖ	there
ἦν	he remained
ἕως	until
τῆς	the
τελευτῆς	death
Ἡρῴδου·	of Herod;
ἵνα	so that
πληρωθῇ	it might be fulfilled
τὸ	that
ὑπὸ	by
κυρίου	[the] Lord
ῥηθὲν	having been spoken
διὰ	through
τοῦ	the
προφήτου	prophet,
λέγοντος	saying,
“Ἐξ	Out
Αἰγύπτου	of Egypt
ἐκάλεσα	have I called
τὸν	the
μου.”	of me.”
υἱόν	Son
Τότε	Then
Ἡρῴδης	Herod,
ἰδὼν	having seen
ὅτι	that
ἐνεπαίχθη	he had been outwitted
ὑπὸ	by
τῶν	the
μάγων	Magi,
λίαν,	intensely,
ἐθυμώθη	was enraged
καὶ	and
ἀποστείλας	having sent forth,
ἀνεῖλεν	he put to death
πάντας	all
τοὺς	the
παῖδας	boys
τοὺς	that [were]
ἐν	in
Βηθλέεμ	Bethlehem
καὶ	and
ἐν	in
πᾶσι	all
τοῖς	the
αὐτῆς	of it,
ὁρίοις	vicinity
ἀπὸ	from
διετοῦς	two years old
καὶ	and
κατωτέρω,	under,
κατὰ	according to
τὸν	the
χρόνον	time
ὃν	which
ἠκρίβωσεν	he had ascertained
παρὰ	from
τῶν	the
μάγων.	Magi.
τότε	Then
τὸ	that
ῥηθὲν	having been spoken
διὰ	by
τοῦ	the
προφήτου	prophet,
Ἰερεμίου	Jeremiah
λέγοντος	saying,
ἐπληρώθη	was fulfilled
“Φωνὴ	A voice
ἠκούσθη,	was heard,
ἐν	in
Ῥαμὰ	Ramah
κλαυθμὸς	weeping
καὶ	and
πολύς·	great,
ὀδυρμὸς	mourning
Ῥαχὴλ	Rachel
κλαίουσα	weeping [for]
τὰ	the
αὐτῆς,	of her,
τέκνα	children
καὶ	and
ἤθελεν	would
οὐκ	not
παρακληθῆναι	be comforted,
ὅτι	because
εἰσίν.”	are they.”
οὐκ	no more
δὲ	now
τοῦ	-
Ἡρῴδου,	of Herod,
Τελευτήσαντος	Having died
ἰδοὺ	behold,
ἄγγελος	an angel
Κυρίου	of [the] Lord
φαίνεται	appears
κατ’	in
ὄναρ	a dream
τῷ	to
Ἰωσὴφ	Joseph
ἐν	in
Αἰγύπτῳ	Egypt,
“Ἐγερθεὶς	Having arisen,
λέγων	saying,
παράλαβε	take
τὸ	the
παιδίον	Child
καὶ	and
τὴν	the
αὐτοῦ	of Him,
μητέρα	mother
καὶ	and
πορεύου	go
εἰς	into
γῆν	[the] land
Ἰσραήλ·	of Israel;
γὰρ	for
οἱ	those
ζητοῦντες	seeking
τὴν	the
τοῦ	of the
παιδίου.	Child.
ψυχὴν	life
τεθνήκασιν	they have died
Ὁ	-
δὲ	And
ἐγερθεὶς	having arisen,
παρέλαβεν	he took
τὸ	the
παιδίον	Child
καὶ	and
τὴν	the
αὐτοῦ	of Him
μητέρα	mother
καὶ	and
εἰσῆλθεν	came
εἰς	into
γῆν	[the] land
Ἰσραήλ.	of Israel.
δὲ	now
ἀκούσας	Having heard
ὅτι	that
Ἀρχέλαος	Archelaus
βασιλεύει	reigns over
τῆς	-
Ἰουδαίας	Judea
ἀντὶ	in place of
τοῦ	the
αὐτοῦ	of him
πατρὸς	father
Ἡρῴδου	Herod,
ἐφοβήθη	he was afraid
ἀπελθεῖν·	to go;
ἐκεῖ	there
δὲ	now
χρηματισθεὶς	having been divinely warned
κατ’	in
ὄναρ	a dream,
ἀνεχώρησεν	he withdrew
εἰς	into
τὰ	the
μέρη	district
τῆς	-
Γαλιλαίας,	of Galilee,
καὶ	and
ἐλθὼν	having come,
κατῴκησεν	he dwelt
εἰς	in
πόλιν	a city
λεγομένην	being called
Ναζαρέτ·	Nazareth;
ὅπως	so that
πληρωθῇ	it should be fulfilled
τὸ	that
ῥηθὲν	having been spoken
διὰ	through
τῶν	the
προφητῶν	prophets,
ὅτι	that
κληθήσεται.	He will be called.
“Ναζωραῖος	A Nazarene
δὲ	then
Ἐν	In
ταῖς	the
ἐκείναις	those,
ἡμέραις	days
Ἰωάννης	John
ὁ	the
βαπτιστὴς	Baptist,
παραγίνεται	comes
κηρύσσων	preaching
ἐν	in
τῇ	the
ἐρήμῳ	wilderness
τῆς	-
Ἰουδαίας,	of Judea,
‹καὶ›	and
λέγων	saying,
“Μετανοεῖτε·	Repent;
γὰρ	for
ἡ	the
βασιλεία	kingdom
τῶν	of the
οὐρανῶν.	heavens.
ἤγγικεν	has drawn near
γάρ	for
οὗτος	This
ἐστιν	is
ὁ	the [One]
ῥηθεὶς	having been spoken of
διὰ	through
τοῦ	the
προφήτου	prophet,
Ἠσαΐου	Isaiah
λέγοντος	saying,
“Φωνὴ	[The] voice
