bib.Adj	<null>	Adjective
bib.Adj.AFP	<null>	Adjective - Accusative Feminine Plural
bib.Adj.AFP.C	<null>	Adjective - Accusative Feminine Plural - Comparative
bib.Adj.AFS	<null>	Adjective - Accusative Feminine Singular
bib.Adj.AFS.C	<null>	Adjective - Accusative Feminine Singular - Comparative
bib.Adj.AFS.S	<null>	Adjective - Accusative Feminine Singular - Superlative
bib.Adj.AMP	<null>	Adjective - Accusative Masculine Plural
bib.Adj.AMP.C	<null>	Adjective - Accusative Masculine Plural - Comparative
bib.Adj.AMS	<null>	Adjective - Accusative Masculine Singular
bib.Adj.AMS.C	<null>	Adjective - Accusative Masculine Singular - Comparative
bib.Adj.ANP	<null>	Adjective - Accusative Neuter Plural
bib.Adj.ANP.C	<null>	Adjective - Accusative Neuter Plural - Comparative
bib.Adj.ANP.S	<null>	Adjective - Accusative Neuter Plural - Superlative
bib.Adj.ANS	<null>	Adjective - Accusative Neuter Singular
bib.Adj.ANS.C	<null>	Adjective - Accusative Neuter Singular - Comparative
bib.Adj.ANS.S	<null>	Adjective - Accusative Neuter Singular - Superlative
bib.Adj.DFP	<null>	Adjective - Dative Feminine Plural
bib.Adj.DFP.C	<null>	Adjective - Dative Feminine Plural - Comparative
bib.Adj.DFS	<null>	Adjective - Dative Feminine Singular
bib.Adj.DFS.C	<null>	Adjective - Dative Feminine Singular - Comparative
bib.Adj.DFS.S	<null>	Adjective - Dative Feminine Singular - Superlative
bib.Adj.DMP	<null>	Adjective - Dative Masculine Plural
bib.Adj.DMP.C	<null>	Adjective - Dative Masculine Plural - Comparative
bib.Adj.DMS	<null>	Adjective - Dative Masculine Singular
bib.Adj.DMS.C	<null>	Adjective - Dative Masculine Singular - Comparative
bib.Adj.DMS.S	<null>	Adjective - Dative Masculine Singular - Superlative
bib.Adj.DNP	<null>	Adjective - Dative Neuter Plural
bib.Adj.DNP.S	<null>	Adjective - Dative Neuter Plural - Superlative
bib.Adj.DNS	<null>	Adjective - Dative Neuter Singular
bib.Adj.DNS.C	<null>	Adjective - Dative Neuter Singular - Comparative
bib.Adj.DNS.S	<null>	Adjective - Dative Neuter Singular - Superlative
bib.Adj.GFP	<null>	Adjective - Genitive Feminine Plural
bib.Adj.GFP.S	<null>	Adjective - Genitive Feminine Plural - Superlative
bib.Adj.GFS	<null>	Adjective - Genitive Feminine Singular
bib.Adj.GFS.C	<null>	Adjective - Genitive Feminine Singular - Comparative
bib.Adj.GMP	<null>	Adjective - Genitive Masculine Plural
bib.Adj.GMP.C	<null>	Adjective - Genitive Masculine Plural - Comparative
bib.Adj.GMP.S	<null>	Adjective - Genitive Masculine Plural - Superlative
bib.Adj.GMS	<null>	Adjective - Genitive Masculine Singular
bib.Adj.GMS.C	<null>	Adjective - Genitive Masculine Singular - Comparative
bib.Adj.GMS.S	<null>	Adjective - Genitive Masculine Singular - Superlative
bib.Adj.GNP	<null>	Adjective - Genitive Neuter Plural
bib.Adj.GNP.C	<null>	Adjective - Genitive Neuter Plural - Comparative
bib.Adj.GNP.S	<null>	Adjective - Genitive Neuter Plural - Superlative
bib.Adj.GNS	<null>	Adjective - Genitive Neuter Singular
bib.Adj.GNS.S	<null>	Adjective - Genitive Neuter Singular - Superlative
bib.Adj.NFP	<null>	Adjective - Nominative Feminine Plural
bib.Adj.NFP.C	<null>	Adjective - Nominative Feminine Plural - Comparative
bib.Adj.NFP.S	<null>	Adjective - Nominative Feminine Plural - Superlative
bib.Adj.NFS	<null>	Adjective - Nominative Feminine Singular
bib.Adj.NFS.C	<null>	Adjective - Nominative Feminine Singular - Comparative
bib.Adj.NFS.S	<null>	Adjective - Nominative Feminine Singular - Superlative
bib.Adj.NMP	<null>	Adjective - Nominative Masculine Plural
bib.Adj.NMP.C	<null>	Adjective - Nominative Masculine Plural - Comparative
bib.Adj.NMS	<null>	Adjective - Nominative Masculine Singular
bib.Adj.NMS.C	<null>	Adjective - Nominative Masculine Singular - Comparative
bib.Adj.NMS.S	<null>	Adjective - Nominative Masculine Singular - Superlative
bib.Adj.NNP	<null>	Adjective - Nominative Neuter Plural
bib.Adj.NNP.C	<null>	Adjective - Nominative Neuter Plural - Comparative
bib.Adj.NNS	<null>	Adjective - Nominative Neuter Singular
bib.Adj.NNS.C	<null>	Adjective - Nominative Neuter Singular - Comparative
bib.Adj.VFS	<null>	Adjective - Vocative Feminine Singular
bib.Adj.VMP	<null>	Adjective - Vocative Masculine Plural
bib.Adj.VMP.C	<null>	Adjective - Vocative Masculine Plural - Comparative
bib.Adj.VMS	<null>	Adjective - Vocative Masculine Singular
bib.Adj.VMS.S	<null>	Adjective - Vocative Masculine Singular - Superlative
bib.Adj.VNP	<null>	Adjective - Vocative Neuter Plural
bib.Adj.VNS	<null>	Adjective - Vocative Neuter Singular
bib.Adv	<null>	Adverb
bib.Adv	<null>	Adverb - Superlative
bib.Adv.C	<null>	Adverb - Comparative
bib.Adv.S	<null>	Adverb - Superlative
bib.Art.AFP	<null>	Article - Accusative Feminine Plural
bib.Art.AFS	<null>	Article - Accusative Feminine Singular
bib.Art.AMP	<null>	Article - Accusative Masculine Plural
bib.Art.AMS	<null>	Article - Accusative Masculine Singular
bib.Art.ANP	<null>	Article - Accusative Neuter Plural
bib.Art.ANS	<null>	Article - Accusative Neuter Singular
bib.Art.DFP	<null>	Article - Dative Feminine Plural
bib.Art.DFS	<null>	Article - Dative Feminine Singular
bib.Art.DMP	<null>	Article - Dative Masculine Plural
bib.Art.DMS	<null>	Article - Dative Masculine Singular
bib.Art.DNP	<null>	Article - Dative Neuter Plural
bib.Art.DNS	<null>	Article - Dative Neuter Singular
bib.Art.GFP	<null>	Article - Genitive Feminine Plural
bib.Art.GFS	<null>	Article - Genitive Feminine Singular
bib.Art.GMP	<null>	Article - Genitive Masculine Plural
bib.Art.GMS	<null>	Article - Genitive Masculine Singular
bib.Art.GNP	<null>	Article - Genitive Neuter Plural
bib.Art.GNS	<null>	Article - Genitive Neuter Singular
bib.Art.NFP	<null>	Article - Nominative Feminine Plural
bib.Art.NFS	<null>	Article - Nominative Feminine Singular
bib.Art.NMP	<null>	Article - Nominative Masculine Plural
bib.Art.NMS	<null>	Article - Nominative Masculine Singular
bib.Art.NNP	<null>	Article - Nominative Neuter Plural
bib.Art.NNS	<null>	Article - Nominative Neuter Singular
bib.Art.VFP	<null>	Article - Vocative Feminine Plural
bib.Art.VFS	<null>	Article - Vocative Feminine Singular
bib.Art.VMP	<null>	Article - Vocative Masculine Plural
bib.Art.VMS	<null>	Article - Vocative Masculine Singular
bib.Art.VNP	<null>	Article - Vocative Neuter Plural
bib.Art.VNS	<null>	Article - Vocative Neuter Singular
bib.Conj	<null>	
bib.Conj	<null>	Conjunction
bib.DPro.AFP	<null>	Demonstrative Pronoun - Accusative Feminine Plural
bib.DPro.AFS	<null>	Demonstrative Pronoun - Accusative Feminine Singular
bib.DPro.AMP	<null>	Demonstrative Pronoun - Accusative Masculine Plural
bib.DPro.AMS	<null>	Demonstrative Pronoun - Accusative Masculine Singular
bib.DPro.ANP	<null>	Demonstrative Pronoun - Accusative Neuter Plural
bib.DPro.ANS	<null>	Demonstrative Pronoun - Accusative Neuter Singular
bib.DPro.DFP	<null>	Demonstrative Pronoun - Dative Feminine Plural
bib.DPro.DFS	<null>	Demonstrative Pronoun - Dative Feminine Singular
bib.DPro.DMP	<null>	Demonstrative Pronoun - Dative Masculine Plural
bib.DPro.DMS	<null>	Demonstrative Pronoun - Dative Masculine Singular
bib.DPro.DNP	<null>	Demonstrative Pronoun - Dative Neuter Plural
bib.DPro.DNS	<null>	Demonstrative Pronoun - Dative Neuter Singular
bib.DPro.GFP	<null>	Demonstrative Pronoun - Genitive Feminine Plural
bib.DPro.GFS	<null>	Demonstrative Pronoun - Genitive Feminine Singular
bib.DPro.GMP	<null>	Demonstrative Pronoun - Genitive Masculine Plural
bib.DPro.GMS	<null>	Demonstrative Pronoun - Genitive Masculine Singular
bib.DPro.GNP	<null>	Demonstrative Pronoun - Genitive Neuter Plural
bib.DPro.GNS	<null>	Demonstrative Pronoun - Genitive Neuter Singular
bib.DPro.NFP	<null>	Demonstrative Pronoun - Nominative Feminine Plural
bib.DPro.NFS	<null>	Demonstrative Pronoun - Nominative Feminine Singular
bib.DPro.NMP	<null>	Demonstrative Pronoun - Nominative Masculine Plural
bib.DPro.NMS	<null>	Demonstrative Pronoun - Nominative Masculine Singular
bib.DPro.NNP	<null>	Demonstrative Pronoun - Nominative Neuter Plural
bib.DPro.NNS	<null>	Demonstrative Pronoun - Nominative Neuter Singular
bib.Heb	<null>	Hebrew Word
bib.Heb	<null>	Hebrew Word 
bib.I	<null>	Interjection
bib.Indec	<null>	Indec
bib.IntPrtcl	<null>	IntPrtcl
bib.IPro.AFP	<null>	Interrogative / Indefinite Pronoun - Accusative Feminine Plural
bib.IPro.AFS	<null>	Interrogative / Indefinite Pronoun - Accusative Feminine Singular
bib.IPro.AMP	<null>	Interrogative / Indefinite Pronoun - Accusative Masculine Plural
bib.IPro.AMS	<null>	Interrogative / Indefinite Pronoun - Accusative Masculine Singular
bib.IPro.ANP	<null>	Interrogative / Indefinite Pronoun - Accusative Neuter Plural
bib.IPro.ANS	<null>	Interrogative / Indefinite Pronoun - Accusative Neuter Singular
bib.IPro.DFS	<null>	Interrogative / Indefinite Pronoun - Dative Feminine Singular
bib.IPro.DMP	<null>	Interrogative / Indefinite Pronoun - Dative Masculine Plural
bib.IPro.DMS	<null>	Interrogative / Indefinite Pronoun - Dative Masculine Singular
bib.IPro.DNS	<null>	Interrogative / Indefinite Pronoun - Dative Neuter Singular
bib.IPro.GFP	<null>	Interrogative / Indefinite Pronoun - Genitive Feminine Plural
bib.IPro.GFS	<null>	Interrogative / Indefinite Pronoun - Genitive Feminine Singular
bib.IPro.GMP	<null>	Interrogative / Indefinite Pronoun - Genitive Masculine Plural
bib.IPro.GMS	<null>	Interrogative / Indefinite Pronoun - Genitive Masculine Singular
bib.IPro.GNP	<null>	Interrogative / Indefinite Pronoun - Genitive Neuter Plural
bib.IPro.GNS	<null>	Interrogative / Indefinite Pronoun - Genitive Neuter Singular
bib.IPro.NFP	<null>	Interrogative / Indefinite Pronoun - Nominative Feminine Plural
bib.IPro.NFS	<null>	Interrogative / Indefinite Pronoun - Nominative Feminine Singular
bib.IPro.NMP	<null>	Interrogative / Indefinite Pronoun - Nominative Masculine Plural
bib.IPro.NMS	<null>	Interrogative / Indefinite Pronoun - Nominative Masculine Singular
bib.IPro.NNP	<null>	Interrogative / Indefinite Pronoun - Nominative Neuter Plural
bib.IPro.NNS	<null>	Interrogative / Indefinite Pronoun - Nominative Neuter Singular
bib.N	<null>	Noun
bib.N.AFP	<null>	Noun - Accusative Feminine Plural
bib.N.AFS	<null>	Noun - Accusative Feminine Singular
bib.N.AMP	<null>	Noun - Accusative Masculine Plural
bib.N.AMS	<null>	Noun - Accusative Masculine Singular
bib.N.ANP	<null>	Noun - Accusative Neuter Plural
bib.N.ANS	<null>	Noun - Accusative Neuter Singular
bib.N.DFP	<null>	Noun - Dative Feminine Plural
bib.N.DFS	<null>	Noun - Dative Feminine Singular
bib.N.DMP	<null>	Noun - Dative Masculine Plural
bib.N.DMS	<null>	Noun - Dative Masculine Singular
bib.N.DNP	<null>	Noun - Dative Neuter Plural
bib.N.DNS	<null>	Noun - Dative Neuter Singular
bib.N.GFP	<null>	Noun - Genitive Feminine Plural
bib.N.GFS	<null>	Noun - Genitive Feminine Singular
bib.N.GMP	<null>	Noun - Genitive Masculine Plural
bib.N.GMS	<null>	Noun - Genitive Masculine Singular
bib.N.GNP	<null>	Noun - Genitive Neuter Plural
bib.N.GNS	<null>	Noun - Genitive Neuter Singular
bib.N.NFP	<null>	Noun - Nominative Feminine Plural
bib.N.NFS	<null>	Noun - Nominative Feminine Singular
bib.N.NMP	<null>	Noun - Nominative Masculine Plural
bib.N.NMS	<null>	Noun - Nominative Masculine Singular
bib.N.NNP	<null>	Noun - Nominative Neuter Plural
bib.N.NNS	<null>	Noun - Nominative Neuter Singular
bib.N.VFP	<null>	Noun - Vocative Feminine Plural
bib.N.VFS	<null>	Noun - Vocative Feminine Singular
bib.N.VMP	<null>	Noun - Vocative Masculine Plural
bib.N.VMS	<null>	Noun - Vocative Masculine Singular
bib.N.VNP	<null>	Noun - Vocative Neuter Plural
bib.N.VNS	<null>	Noun - Vocative Neuter Singular
bib.PPro.A1P	<null>	Personal / Possessive Pronoun - Accusative 1st Person Plural
bib.PPro.A1S	<null>	Personal / Possessive Pronoun - Accusative 1st Person Singular
bib.PPro.A2P	<null>	
bib.PPro.A2P	<null>	Personal / Possessive Pronoun - Accusative 2nd Person Plural
bib.PPro.A2S	<null>	Personal / Possessive Pronoun - Accusative 2nd Person Singular
bib.PPro.AF1P	<null>	Personal / Possessive Pronoun - Accusative Feminine 1st Person Plural
bib.PPro.AF1S	<null>	Personal / Possessive Pronoun - Accusative Feminine 1st Person Singular
bib.PPro.AF2P	<null>	Personal / Possessive Pronoun - Accusative Feminine 2nd Person Plural
bib.PPro.AF2S	<null>	Personal / Possessive Pronoun - Accusative Feminine 2nd Person Singular
bib.PPro.AF3P	<null>	Personal / Possessive Pronoun - Accusative Feminine 3rd Person Plural
bib.PPro.AF3S	<null>	Personal / Possessive Pronoun - Accusative Feminine 3rd Person Singular
bib.PPro.AM1P	<null>	Personal / Possessive Pronoun - Accusative Masculine 1st Person Plural
bib.PPro.AM1S	<null>	Personal / Possessive Pronoun - Accusative Masculine 1st Person Singular
bib.PPro.AM2P	<null>	Personal / Possessive Pronoun - Accusative Masculine 2nd Person Plural
bib.PPro.AM2S	<null>	Personal / Possessive Pronoun - Accusative Masculine 2nd Person Singular
bib.PPro.AM3P	<null>	Personal / Possessive Pronoun - Accusative Masculine 3rd Person Plural
bib.PPro.AM3S	<null>	Personal / Possessive Pronoun - Accusative Masculine 3rd Person Singular
bib.PPro.AN1P	<null>	Personal / Possessive Pronoun - Accusative Neuter 1st Person Plural
bib.PPro.AN1S	<null>	Personal / Possessive Pronoun - Accusative Neuter 1st Person Singular
bib.PPro.AN2P	<null>	Personal / Possessive Pronoun - Accusative Neuter 2nd Person Plural
bib.PPro.AN2S	<null>	Personal / Possessive Pronoun - Accusative Neuter 2nd Person Singular
bib.PPro.AN3P	<null>	Personal / Possessive Pronoun - Accusative Neuter 3rd Person Plural
bib.PPro.AN3S	<null>	Personal / Possessive Pronoun - Accusative Neuter 3rd Person Singular
bib.PPro.D1P	<null>	Personal / Possessive Pronoun - Dative 1st Person Plural
bib.PPro.D1S	<null>	Personal / Possessive Pronoun - Dative 1st Person Singular
bib.PPro.D2P	<null>	Personal / Possessive Pronoun - Dative 2nd Person Plural
bib.PPro.D2S	<null>	Personal / Possessive Pronoun - Dative 2nd Person Singular
