Adj	Adjective
Adj-AFP	Adjective - Accusative Feminine Plural
Adj-AFP-C	Adjective - Accusative Feminine Plural - Comparative
Adj-AFS	Adjective - Accusative Feminine Singular
Adj-AFS-C	Adjective - Accusative Feminine Singular - Comparative
Adj-AFS-S	Adjective - Accusative Feminine Singular - Superlative
Adj-AMP	Adjective - Accusative Masculine Plural
Adj-AMP-C	Adjective - Accusative Masculine Plural - Comparative
Adj-AMS	Adjective - Accusative Masculine Singular
Adj-AMS-C	Adjective - Accusative Masculine Singular - Comparative
Adj-ANP	Adjective - Accusative Neuter Plural
Adj-ANP-C	Adjective - Accusative Neuter Plural - Comparative
Adj-ANP-S	Adjective - Accusative Neuter Plural - Superlative
Adj-ANS	Adjective - Accusative Neuter Singular
Adj-ANS-C	Adjective - Accusative Neuter Singular - Comparative
Adj-ANS-S	Adjective - Accusative Neuter Singular - Superlative
Adj-DFP	Adjective - Dative Feminine Plural
Adj-DFP-C	Adjective - Dative Feminine Plural - Comparative
Adj-DFS	Adjective - Dative Feminine Singular
Adj-DFS-C	Adjective - Dative Feminine Singular - Comparative
Adj-DFS-S	Adjective - Dative Feminine Singular - Superlative
Adj-DMP	Adjective - Dative Masculine Plural
Adj-DMP-C	Adjective - Dative Masculine Plural - Comparative
Adj-DMS	Adjective - Dative Masculine Singular
Adj-DMS-C	Adjective - Dative Masculine Singular - Comparative
Adj-DMS-S	Adjective - Dative Masculine Singular - Superlative
Adj-DNP	Adjective - Dative Neuter Plural
Adj-DNP-S	Adjective - Dative Neuter Plural - Superlative
Adj-DNS	Adjective - Dative Neuter Singular
Adj-DNS-C	Adjective - Dative Neuter Singular - Comparative
Adj-DNS-S	Adjective - Dative Neuter Singular - Superlative
Adj-GFP	Adjective - Genitive Feminine Plural
Adj-GFP-S	Adjective - Genitive Feminine Plural - Superlative
Adj-GFS	Adjective - Genitive Feminine Singular
Adj-GFS-C	Adjective - Genitive Feminine Singular - Comparative
Adj-GMP	Adjective - Genitive Masculine Plural
Adj-GMP-C	Adjective - Genitive Masculine Plural - Comparative
Adj-GMP-S	Adjective - Genitive Masculine Plural - Superlative
Adj-GMS	Adjective - Genitive Masculine Singular
Adj-GMS-C	Adjective - Genitive Masculine Singular - Comparative
Adj-GMS-S	Adjective - Genitive Masculine Singular - Superlative
Adj-GNP	Adjective - Genitive Neuter Plural
Adj-GNP-C	Adjective - Genitive Neuter Plural - Comparative
Adj-GNP-S	Adjective - Genitive Neuter Plural - Superlative
Adj-GNS	Adjective - Genitive Neuter Singular
Adj-GNS-S	Adjective - Genitive Neuter Singular - Superlative
Adj-NFP	Adjective - Nominative Feminine Plural
Adj-NFP-C	Adjective - Nominative Feminine Plural - Comparative
Adj-NFP-S	Adjective - Nominative Feminine Plural - Superlative
Adj-NFS	Adjective - Nominative Feminine Singular
Adj-NFS-C	Adjective - Nominative Feminine Singular - Comparative
Adj-NFS-S	Adjective - Nominative Feminine Singular - Superlative
Adj-NMP	Adjective - Nominative Masculine Plural
Adj-NMP-C	Adjective - Nominative Masculine Plural - Comparative
Adj-NMS	Adjective - Nominative Masculine Singular
Adj-NMS-C	Adjective - Nominative Masculine Singular - Comparative
Adj-NMS-S	Adjective - Nominative Masculine Singular - Superlative
Adj-NNP	Adjective - Nominative Neuter Plural
Adj-NNP-C	Adjective - Nominative Neuter Plural - Comparative
Adj-NNS	Adjective - Nominative Neuter Singular
Adj-NNS-C	Adjective - Nominative Neuter Singular - Comparative
Adj-VFS	Adjective - Vocative Feminine Singular
Adj-VMP	Adjective - Vocative Masculine Plural
Adj-VMP-C	Adjective - Vocative Masculine Plural - Comparative
Adj-VMS	Adjective - Vocative Masculine Singular
Adj-VMS-S	Adjective - Vocative Masculine Singular - Superlative
Adj-VNP	Adjective - Vocative Neuter Plural
Adj-VNS	Adjective - Vocative Neuter Singular
Adv	Adverb
Adv	Adverb - Superlative
Adv-C	Adverb - Comparative
Adv-S	Adverb - Superlative
Art-AFP	Article - Accusative Feminine Plural
Art-AFS	Article - Accusative Feminine Singular
Art-AMP	Article - Accusative Masculine Plural
Art-AMS	Article - Accusative Masculine Singular
Art-ANP	Article - Accusative Neuter Plural
Art-ANS	Article - Accusative Neuter Singular
Art-DFP	Article - Dative Feminine Plural
Art-DFS	Article - Dative Feminine Singular
Art-DMP	Article - Dative Masculine Plural
Art-DMS	Article - Dative Masculine Singular
Art-DNP	Article - Dative Neuter Plural
Art-DNS	Article - Dative Neuter Singular
Art-GFP	Article - Genitive Feminine Plural
Art-GFS	Article - Genitive Feminine Singular
Art-GMP	Article - Genitive Masculine Plural
Art-GMS	Article - Genitive Masculine Singular
Art-GNP	Article - Genitive Neuter Plural
Art-GNS	Article - Genitive Neuter Singular
Art-NFP	Article - Nominative Feminine Plural
Art-NFS	Article - Nominative Feminine Singular
Art-NMP	Article - Nominative Masculine Plural
Art-NMS	Article - Nominative Masculine Singular
Art-NNP	Article - Nominative Neuter Plural
Art-NNS	Article - Nominative Neuter Singular
Art-VFP	Article - Vocative Feminine Plural
Art-VFS	Article - Vocative Feminine Singular
Art-VMP	Article - Vocative Masculine Plural
Art-VMS	Article - Vocative Masculine Singular
Art-VNP	Article - Vocative Neuter Plural
Art-VNS	Article - Vocative Neuter Singular
Conj	
Conj	Conjunction
DPro-AFP	Demonstrative Pronoun - Accusative Feminine Plural
DPro-AFS	Demonstrative Pronoun - Accusative Feminine Singular
DPro-AMP	Demonstrative Pronoun - Accusative Masculine Plural
DPro-AMS	Demonstrative Pronoun - Accusative Masculine Singular
DPro-ANP	Demonstrative Pronoun - Accusative Neuter Plural
DPro-ANS	Demonstrative Pronoun - Accusative Neuter Singular
DPro-DFP	Demonstrative Pronoun - Dative Feminine Plural
DPro-DFS	Demonstrative Pronoun - Dative Feminine Singular
DPro-DMP	Demonstrative Pronoun - Dative Masculine Plural
DPro-DMS	Demonstrative Pronoun - Dative Masculine Singular
DPro-DNP	Demonstrative Pronoun - Dative Neuter Plural
DPro-DNS	Demonstrative Pronoun - Dative Neuter Singular
DPro-GFP	Demonstrative Pronoun - Genitive Feminine Plural
DPro-GFS	Demonstrative Pronoun - Genitive Feminine Singular
DPro-GMP	Demonstrative Pronoun - Genitive Masculine Plural
DPro-GMS	Demonstrative Pronoun - Genitive Masculine Singular
DPro-GNP	Demonstrative Pronoun - Genitive Neuter Plural
DPro-GNS	Demonstrative Pronoun - Genitive Neuter Singular
DPro-NFP	Demonstrative Pronoun - Nominative Feminine Plural
DPro-NFS	Demonstrative Pronoun - Nominative Feminine Singular
DPro-NMP	Demonstrative Pronoun - Nominative Masculine Plural
DPro-NMS	Demonstrative Pronoun - Nominative Masculine Singular
DPro-NNP	Demonstrative Pronoun - Nominative Neuter Plural
DPro-NNS	Demonstrative Pronoun - Nominative Neuter Singular
Heb	Hebrew Word
Heb	Hebrew Word 
I	Interjection
Indec	Indec
IntPrtcl	IntPrtcl
IPro-AFP	Interrogative / Indefinite Pronoun - Accusative Feminine Plural
IPro-AFS	Interrogative / Indefinite Pronoun - Accusative Feminine Singular
IPro-AMP	Interrogative / Indefinite Pronoun - Accusative Masculine Plural
IPro-AMS	Interrogative / Indefinite Pronoun - Accusative Masculine Singular
IPro-ANP	Interrogative / Indefinite Pronoun - Accusative Neuter Plural
IPro-ANS	Interrogative / Indefinite Pronoun - Accusative Neuter Singular
IPro-DFS	Interrogative / Indefinite Pronoun - Dative Feminine Singular
IPro-DMP	Interrogative / Indefinite Pronoun - Dative Masculine Plural
IPro-DMS	Interrogative / Indefinite Pronoun - Dative Masculine Singular
IPro-DNS	Interrogative / Indefinite Pronoun - Dative Neuter Singular
IPro-GFP	Interrogative / Indefinite Pronoun - Genitive Feminine Plural
IPro-GFS	Interrogative / Indefinite Pronoun - Genitive Feminine Singular
IPro-GMP	Interrogative / Indefinite Pronoun - Genitive Masculine Plural
IPro-GMS	Interrogative / Indefinite Pronoun - Genitive Masculine Singular
IPro-GNP	Interrogative / Indefinite Pronoun - Genitive Neuter Plural
IPro-GNS	Interrogative / Indefinite Pronoun - Genitive Neuter Singular
IPro-NFP	Interrogative / Indefinite Pronoun - Nominative Feminine Plural
IPro-NFS	Interrogative / Indefinite Pronoun - Nominative Feminine Singular
IPro-NMP	Interrogative / Indefinite Pronoun - Nominative Masculine Plural
IPro-NMS	Interrogative / Indefinite Pronoun - Nominative Masculine Singular
IPro-NNP	Interrogative / Indefinite Pronoun - Nominative Neuter Plural
IPro-NNS	Interrogative / Indefinite Pronoun - Nominative Neuter Singular
N	Noun
N-AFP	Noun - Accusative Feminine Plural
N-AFS	Noun - Accusative Feminine Singular
N-AMP	Noun - Accusative Masculine Plural
N-AMS	Noun - Accusative Masculine Singular
N-ANP	Noun - Accusative Neuter Plural
N-ANS	Noun - Accusative Neuter Singular
N-DFP	Noun - Dative Feminine Plural
N-DFS	Noun - Dative Feminine Singular
N-DMP	Noun - Dative Masculine Plural
N-DMS	Noun - Dative Masculine Singular
N-DNP	Noun - Dative Neuter Plural
N-DNS	Noun - Dative Neuter Singular
N-GFP	Noun - Genitive Feminine Plural
N-GFS	Noun - Genitive Feminine Singular
N-GMP	Noun - Genitive Masculine Plural
N-GMS	Noun - Genitive Masculine Singular
N-GNP	Noun - Genitive Neuter Plural
N-GNS	Noun - Genitive Neuter Singular
N-NFP	Noun - Nominative Feminine Plural
